0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:185344,31:0.691273533959,32:1.12290807959,33:60.608,34:23.072,35:1.6164988087,36:2.01027024436,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:186368,31:0.691273533959,32:1.12014725924,33:60.608,34:23.072,35:1.6164988087,36:2.03941618993,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:187392,31:0.691273533959,32:1.12351411769,33:60.608,34:23.072,35:1.6164988087,36:2.03941618993,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:183296,31:0.691273533959,32:1.15590985376,33:60.608,34:23.072,35:1.61062595339,36:2.01027024436,37:351.24,38:126.303
1,1:26,2:2000,3:2000,4:2000,6:214,7:-55,8:26,9:1.84287595989,11:0.00461077222222,12:0.001269,13:0.010775,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:182.739,21:34.271,22:144.082,23:38.055,24:307,25:0.000291709495618,27:0.00265235555556,28:0.001907,29:0.005539,30:92160,31:2.77747304088,32:0.342096010211,33:45.655,34:7.843,35:1.25166069324,36:0.900988336382,37:149.64,38:140.217
1,1:26,2:2000,3:2000,4:2000,6:214,7:-55,8:26,9:1.84287595989,11:0.00461077222222,12:0.001269,13:0.010775,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:182.739,21:34.271,22:144.082,23:38.055,24:307,25:0.000291709495618,27:0.00265235555556,28:0.001907,29:0.005539,30:87040,31:2.71009996519,32:0.337809873761,33:45.655,34:7.843,35:1.23583413731,36:0.83422865667,37:149.64,38:140.217
1,1:26,2:2000,3:2000,4:2000,6:214,7:-55,8:26,9:1.84287595989,11:0.00461077222222,12:0.001269,13:0.010775,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:182.739,21:34.271,22:144.082,23:38.055,24:307,25:0.000291709495618,27:0.00265235555556,28:0.001907,29:0.005539,30:88064,31:2.71895695245,32:0.337809873761,33:45.655,34:7.843,35:1.23583413731,36:0.900988336382,37:149.64,38:140.217
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:184320,31:0.691273533959,32:1.15590985376,33:60.608,34:23.072,35:1.61062595339,36:2.01027024436,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:180224,31:0.691273533959,32:1.13196205415,33:60.608,34:23.072,35:1.58718247707,36:1.95197835322,37:351.24,38:126.303
1,1:26,2:2000,3:2000,4:2000,6:214,7:-55,8:26,9:1.84287595989,11:0.00461077222222,12:0.001269,13:0.010775,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:182.739,21:34.271,22:144.082,23:38.055,24:307,25:0.000291709495618,27:0.00265235555556,28:0.001907,29:0.005539,30:100352,31:2.8276663478,32:0.348837159131,33:45.655,34:7.843,35:1.31732430183,36:0.952037753875,37:149.64,38:140.217
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:182272,31:0.691273533959,32:1.1489535898,33:60.608,34:23.072,35:1.58718247707,36:1.98112429879,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:188416,31:0.691273533959,32:1.12351411769,33:60.608,34:23.072,35:1.57721660399,36:2.03941618993,37:351.24,38:126.303
1,1:26,2:2000,3:2000,4:2000,6:214,7:-55,8:26,9:1.84287595989,11:0.00461077222222,12:0.001269,13:0.010775,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:182.739,21:34.271,22:144.082,23:38.055,24:307,25:0.000291709495618,27:0.00265235555556,28:0.001907,29:0.005539,30:17408,31:1.48291640647,32:0.210955724301,33:45.655,34:7.843,35:0.369726204443,36:0.209014143464,37:149.64,38:140.217
1,1:26,2:2000,3:2000,4:2000,6:214,7:-55,8:26,9:1.84287595989,11:0.00461077222222,12:0.001269,13:0.010775,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:182.739,21:34.271,22:144.082,23:38.055,24:307,25:0.000291709495618,27:0.00265235555556,28:0.001907,29:0.005539,30:15360,31:1.3980090808,32:0.210955724301,33:45.655,34:7.843,35:0.349448531557,36:0.218662097729,37:149.64,38:140.217
1,1:26,2:2000,3:2000,4:2000,6:214,7:-55,8:26,9:1.84287595989,11:0.00461077222222,12:0.001269,13:0.010775,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:182.739,21:34.271,22:144.082,23:38.055,24:307,25:0.000291709495618,27:0.00265235555556,28:0.001907,29:0.005539,30:11264,31:1.31251720533,32:0.210955724301,33:45.655,34:7.843,35:0.343657177972,36:0.201004345048,37:149.64,38:140.217
1,1:26,2:2000,3:2000,4:2000,6:214,7:-55,8:26,9:1.84287595989,11:0.00461077222222,12:0.001269,13:0.010775,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:182.739,21:34.271,22:144.082,23:38.055,24:307,25:0.000291709495618,27:0.00265235555556,28:0.001907,29:0.005539,30:14336,31:1.35239509655,32:0.210955724301,33:45.655,34:7.843,35:0.319653946946,36:0.200068991835,37:149.64,38:140.217
1,1:26,2:2000,3:2000,4:2000,6:214,7:-55,8:26,9:1.84287595989,11:0.00461077222222,12:0.001269,13:0.010775,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:182.739,21:34.271,22:144.082,23:38.055,24:307,25:0.000291709495618,27:0.00265235555556,28:0.001907,29:0.005539,30:10240,31:1.23074184584,32:0.210955724301,33:45.655,34:7.843,35:0.304285745377,36:0.178059653954,37:149.64,38:140.217
1,1:26,2:2000,3:2000,4:2000,6:214,7:-55,8:26,9:1.84287595989,11:0.00461077222222,12:0.001269,13:0.010775,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:182.739,21:34.271,22:144.082,23:38.055,24:307,25:0.000291709495618,27:0.00265235555556,28:0.001907,29:0.005539,30:8192,31:1.12563275414,32:0.210955724301,33:45.655,34:7.843,35:0.274725945333,36:0.15511496286,37:149.64,38:140.217
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:173056,31:0.691273533959,32:1.0923013143,33:60.608,34:23.072,35:1.53352073448,36:1.9196273471,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:174080,31:0.691273533959,32:1.10086621612,33:60.608,34:23.072,35:1.53352073448,36:1.9196273471,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:189440,31:0.691273533959,32:1.13149000151,33:60.608,34:23.072,35:1.52504,36:2.04098133333,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:169984,31:0.691273533959,32:1.08054442216,33:60.608,34:23.072,35:1.50981963781,36:1.8900821424,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:171008,31:0.691273533959,32:1.08449120118,33:60.608,34:23.072,35:1.50981963781,36:1.8900821424,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:166912,31:0.691273533959,32:1.06409421222,33:60.608,34:23.072,35:1.50263095189,36:1.83099173298,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:167936,31:0.691273533959,32:1.0719860589,33:60.608,34:23.072,35:1.50263095189,36:1.86053693769,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:168960,31:0.691273533959,32:1.0719860589,33:60.608,34:23.072,35:1.50263095189,36:1.86053693769,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:163840,31:0.691273533959,32:1.04680713454,33:60.608,34:23.072,35:1.49528072263,36:1.80144652827,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:164864,31:0.691273533959,32:1.04680713454,33:60.608,34:23.072,35:1.49528072263,36:1.83099173298,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:165888,31:0.691273533959,32:1.05545128099,33:60.608,34:23.072,35:1.49528072263,36:1.83099173298,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:161792,31:0.691273533959,32:1.02951838515,33:60.608,34:23.072,35:1.47104701762,36:1.80144652827,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:162816,31:0.691273533959,32:1.03816336097,33:60.608,34:23.072,35:1.47104701762,36:1.80144652827,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:158720,31:0.585933777253,32:1.36782591067,33:60.608,34:23.072,35:1.44681331261,36:1.76655548536,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:159744,31:0.585933777253,32:1.02089806491,33:60.608,34:23.072,35:1.44681331261,36:1.77190132357,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:160768,31:0.691273533959,32:1.02089806491,33:60.608,34:23.072,35:1.44681331261,36:1.77190132357,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:155648,31:0.601314127383,32:1.34452652055,33:60.608,34:23.072,35:1.43874526744,36:1.73659993099,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:156672,31:0.601314127383,32:1.34452652055,33:60.608,34:23.072,35:1.43874526744,36:1.76655548536,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:157696,31:0.601314127383,32:1.35619859801,33:60.608,34:23.072,35:1.43874526744,36:1.76655548536,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:153600,31:0.592114920753,32:1.87122075551,33:60.608,34:23.072,35:1.41423617972,36:1.73659993099,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:154624,31:0.592114920753,32:1.33293907314,33:60.608,34:23.072,35:1.41423617972,36:1.73659993099,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:151552,31:0.582179345754,32:1.85488064051,33:60.608,34:23.072,35:1.389727092,36:1.70664437663,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:152576,31:0.592114920753,32:1.85488064051,33:60.608,34:23.072,35:1.389727092,36:1.70664437663,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:148480,31:0.572859340579,32:2.11089768717,33:60.608,34:23.072,35:1.38091014804,36:1.700304134,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:149504,31:0.572859340579,32:2.12892647976,33:60.608,34:23.072,35:1.38091014804,36:1.700304134,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:145408,31:0.562021316674,32:2.0731984817,33:60.608,34:23.072,35:1.35611934698,36:1.68707232386,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:146432,31:0.567068689301,32:2.09205495699,33:60.608,34:23.072,35:1.35611934698,36:1.71833029228,37:351.24,38:126.303
0,1:22,2:2000,3:2000,4:2000,6:1518,7:-68,8:6,9:0.969978271279,11:0.00952333888889,12:0.000396,13:0.009735,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:171.875,21:34.546,22:145.486,23:37.523,24:534,25:5.76014399101,26:0.02,27:0.00151135897436,29:0.005005,30:147456,31:0.572859340579,32:2.11089768717,33:60.608,34:23.072,35:1.35611934698,36:1.71833029228,37:351.24,38:126.303
1,1:26,2:2000,3:2000,4:2000,6:214,7:-55,8:26,9:1.84287595989,11:0.00461077222222,12:0.001269,13:0.010775,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:182.739,21:34.271,22:144.082,23:38.055,24:307,25:0.000291709495618,27:0.00265235555556,28:0.001907,29:0.005539,30:101376,31:2.83787830699,32:0.348837159131,33:45.655,34:7.843,35:1.3403247803,36:0.978809421722,37:149.64,38:140.217
1,1:26,2:2000,3:2000,4:2000,6:214,7:-55,8:26,9:1.84287595989,11:0.00461077222222,12:0.001269,13:0.010775,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:182.739,21:34.271,22:144.082,23:38.055,24:307,25:0.000291709495618,27:0.00265235555556,28:0.001907,29:0.005539,30:102400,31:2.83787830699,32:0.35765536765,33:45.655,34:7.843,35:1.3403247803,36:0.978809421722,37:149.64,38:140.217
1,1:26,2:2000,3:2000,4:2000,6:214,7:-55,8:26,9:1.84287595989,11:0.00461077222222,12:0.001269,13:0.010775,14:13,15:20,16:-101,17:-14,18:9,19:-10,20:182.739,21:34.271,22:144.082,23:38.055,24:307,25:0.000291709495618,27:0.00265235555556,28:0.001907,29:0.005539,30:103424,31:2.83787830699,32:0.35765536765,33:45.655,34:7.843,35:1.3403247803,36:0.978809421722,37:149.64,38:140.217
